name	lfdr	mean1	mean2	fold_change	enriched	label	color
GCA_010203745	2.90E-10	6.223209125	0.000145303	20	IBD	Mucor circinelloides	red
GCA_900537225	4.61E-09	0.014222231	0.000427004	20	IBD	Yarrowia lipolytica	red
GCA_000315875	2.35E-08	0.000586422	3.99E-05	14.6819718	IBD	Candida orthopsilosis	red
GCA_002933435	2.54E-06	0.019395888	0.002329688	8.325528956	IBD	[Candida] pseudohaemulonis	red
GCA_003206225	5.75E-06	0.43486953	0.009822575	20	IBD	Blastomyces percursus	red
GCA_000002655	8.59E-06	3.72E-05	0.006840709	20	Control	Aspergillus fumigatus	blue
GCA_003571375	0.000110598	36.52540895	0.524091287	20	IBD	Yarrowia lipolytica	red
GCA_900149155	0.000236089	0.000555944	2.07E-05	20	IBD	Malassezia sympodialis	red
GCA_000835495	0.000542905	1.27E-06	0.000466627	20	Control	Cladophialophora immunda	blue
GCA_001752625	0.001139927	0.892640647	2.031113138	2.275398443	Control		gray
GCA_001651445	0.001139927	0.001692232	0.000318743	5.309071848	IBD		gray
GCA_001021365	0.001139927	4.23E-05	0.000672151	15.89090463	Control		gray
GCA_000835515	0.001139927	1.21E-06	0.000486426	20	Control		gray
GCA_003016335	0.001271519	7.78E-06	0.000144304	18.54396623	Control		gray
GCA_000149305	0.002039742	0.000257879	0.001003637	3.891890275	Control		gray
GCA_000943775	0.002039742	0.003079034	0.018328133	5.952559394	Control		gray
GCA_009663155	0.002039742	0.456043287	0.039261293	11.6155952	IBD		gray
GCA_000227115	0.002039742	0.003239915	0.000182196	17.78261881	IBD		gray
GCA_003708665	0.002039742	0.156095366	0.008517835	18.32570846	IBD		gray
GCA_000835505	0.002039742	1.64E-06	0.001656081	20	Control		gray
GCA_000697055	0.004541029	66.51273431	152.336995	2.290343294	Control		gray
GCA_900092765	0.005419364	1.05E-05	0.000174335	16.54466294	Control		gray
GCA_000696895	0.00898157	147.5956218	281.6437923	1.908212377	Control		gray
GCA_000961545	0.00898157	0.001394754	0.007311192	5.241923812	Control		gray
GCA_009938135	0.00898157	0.001933396	0.000162301	11.91241431	IBD		gray
GCA_000697495	0.00898157	243.1783932	0.916585207	20	IBD		gray
GCA_000149385	0.034646473	0.000161478	0.000100699	1.603572078	IBD		gray
GCA_003704615	0.034646473	0.405335077	0.209291666	1.936699557	IBD		gray
GCA_008704595	0.034646473	0.138258489	0.038496952	3.591413893	IBD		gray
GCA_000697355	0.034646473	0.090981052	0.360995265	3.967807122	Control		gray
GCA_002926085	0.034646473	0.000689575	0.000166503	4.141521489	IBD		gray
GCA_007168705	0.034646473	0.014054121	0.002148606	6.541042287	IBD		gray
GCA_000149585	0.034646473	0.373331615	0.042536291	8.776778841	IBD		gray
GCA_000697725	0.034646473	0.000399292	0.003651367	9.144596122	Control		gray
GCA_003666085	0.034646473	0.143073978	0.015200159	9.412662955	IBD		gray
GCA_001264885	0.034646473	0.001367464	8.85E-05	15.45206546	IBD		gray
GCA_002219185	0.034646473	0.074658356	0.004762931	15.67487789	IBD		gray
GCA_001600795	0.034646473	0.037847476	0.002052343	18.4411033	IBD		gray
GCA_000835455	0.034646473	0.000200094	6.83E-06	20	IBD		gray
GCA_000945115	0.034646473	2.01E-05	0.001360104	20	Control		gray
GCA_000261425	0.034646473	0.000104234	0.017831669	20	Control		gray
GCA_000721785	0.034646473	1.49E-06	0.00038882	20	Control		gray
GCA_000798695	0.034646473	0	0.003275116	20	Control		gray
GCA_002926055	0.041127772	0.003153051	0.000469695	6.712979028	IBD		gray
GCA_000299215	0.041127772	0.015453856	0.000154664	20	IBD		gray
GCA_000315175	0.152539706	0.001528127	0.001496034	1.021451801	IBD		gray
GCA_001599575	0.152539706	0.026647267	0.02804341	1.052393491	Control		gray
GCA_003054445	0.152539706	0.000426668	0.000382542	1.115350027	IBD		gray
GCA_002110485	0.152539706	0.006815839	0.003642055	1.871426578	IBD		gray
GCA_000365165	0.152539706	9.73E-05	5.19E-05	1.87429588	IBD		gray
GCA_011057565	0.152539706	0.02272462	0.011786218	1.928067118	IBD		gray
GCA_001700775	0.152539706	0.00078318	0.001566007	1.999548896	Control		gray
GCA_000151005	0.152539706	0.002558072	0.00116146	2.202463182	IBD		gray
GCA_003704645	0.152539706	0.089940277	0.037462979	2.400777518	IBD		gray
GCA_009498055	0.152539706	0.001141691	0.000457717	2.494318028	IBD		gray
GCA_003614865	0.152539706	0.004735131	0.001893468	2.500770757	IBD		gray
GCA_000723665	0.152539706	0.000672641	0.001968789	2.926954002	Control		gray
GCA_002234965	0.152539706	0.00988516	0.030215103	3.056612499	Control		gray
GCA_001477535	0.152539706	0.002241463	0.000609444	3.677883371	IBD		gray
GCA_000697295	0.152539706	0.053718938	0.014488768	3.707626365	IBD		gray
GCA_000182765	0.152539706	0.001187301	0.000255259	4.651363913	IBD		gray
GCA_009017415	0.152539706	0.000111197	0.001045297	9.400418309	Control		gray
GCA_900290405	0.152539706	0.125549897	0.010141231	12.38014336	IBD		gray
GCA_000150735	0.152539706	0.009678048	0.000582798	16.60617898	IBD		gray
GCA_000697275	0.152539706	0.002636576	0.048239738	18.29636021	Control		gray
GCA_001264815	0.152539706	13.63841715	0.38411994	20	IBD		gray
GCA_002749535	0.203187911	98.19934856	84.39716717	1.163538444	IBD		gray
GCA_002237265	0.203187911	0.030751129	0.046491886	1.511875727	Control		gray
GCA_003704575	0.203187911	0.02602777	0.083485256	3.207545511	Control		gray
GCA_000359685	0.203187911	0.049905877	0.007797268	6.40043126	IBD		gray
GCA_002158515	0.203187911	181.538746	7.179190783	20	IBD		gray
GCA_000263175	0.203187911	0	0.000354333	20	Control		gray
GCA_003336255	0.327909908	0.000193751	0.000171803	1.127753929	IBD		gray
GCA_000697215	0.327909908	0.015262042	0.01726925	1.131516345	Control		gray
GCA_002276285	0.327909908	1.982897747	2.7701107	1.397001285	Control		gray
GCA_001599195	0.327909908	5.40E-06	9.28E-06	1.71776084	Control		gray
GCA_000697235	0.327909908	0.033295343	0.067956249	2.041013626	Control		gray
GCA_010882955	0.327909908	8.80E-05	0.000186063	2.114405748	Control		gray
GCA_900067095	0.327909908	17.53707858	8.100950046	2.164817519	IBD		gray
GCA_002105135	0.327909908	0.021107499	0.008484808	2.487681258	IBD		gray
GCA_006680115	0.327909908	0.002529362	0.007367088	2.912626992	Control		gray
GCA_001005365	0.327909908	0.023017859	0.007811046	2.94683433	IBD		gray
GCA_000026945	0.327909908	9.07E-05	2.44E-05	3.724006523	IBD		gray
GCA_000611715	0.327909908	0.076324505	0.010515132	7.258540206	IBD		gray
GCA_002079115	0.327909908	0.029493408	0.002782651	10.59903127	IBD		gray
GCA_001630435	0.327909908	9.25E-06	0.000367212	20	Control		gray
GCA_002708625	0.327909908	0	3.80E-07	20	Control		gray
GCA_004917485	0.401177077	0.010351355	0.005399783	1.916994685	IBD		gray
GCA_002127715	0.401177077	0.158474598	0.585207318	3.692751547	Control		gray
GCA_003118255	0.401177077	10.75385303	1.735512447	6.196356036	IBD		gray
GCA_002221725	0.401177077	0.055461428	0.00416593	13.31309731	IBD		gray
GCA_000835435	0.427607906	0.000175086	0.003559125	20	Control		gray
GCA_003290485	0.867267038	0.000990046	0.015378734	15.53335574	Control		gray
GCA_003705465	0.905137653	0.76519726	0.358471314	2.134612256	IBD		gray
GCA_002099365	1	0.002582555	0.011338654	4.390479583	Control		gray
GCA_009650675	1	0.002703763	0.002269297	1.191454264	IBD		gray
GCA_000817285	1	0.00500605	0.004015988	1.246530171	IBD		gray
GCA_000696975	1	0.32656354	0.499393023	1.529236923	Control		gray
GCA_000587855	1	0.082547226	0.172503465	2.089754847	Control		gray
GCA_003069565	1	0.030074732	0.012604318	2.386065751	IBD		gray
GCA_010232095	1	0.00050025	0.001973957	3.945938073	Control		gray
GCA_001275765	1	0.005036453	0.001032338	4.878686328	IBD		gray
GCA_005890775	1	0.000326883	0.002318575	7.092979878	Control		gray
GCA_001653205	1	0.000225478	0.004670145	20	Control		gray
GCA_000294735	1	0.006172192	0.003795477	1.626196704	IBD		gray
GCA_003276085	1	2.513908883	0.160183507	15.69393088	IBD		gray
